Funds,FundManager,Category,RupeeVestRating,AUM,ExpenseRatio,FundType,InceptionDate,BenchmarkIndex, NAV , 52WeekHigh, 52WeekLow,Return1mo,Return3mo,Return6mo,Return1yr,Return2yrs,Return3yrs,Return5yrs,Return10yrs,TurnoverRatio, NoofStocks,AvgMarketCap,LargeCap,MidCap,SmallCap,HighestSector,AvgMaturity,ModDuration,YieldToMaturity,Alpha,Sharpe,Sortino,Beta,StandardDeviation,classification,ExitloadRemarks
Aditya Birla SL FTP-QG-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,187.1,-,Closed Ended,26-Jun-18,Crisil Composite Bond Fund Index,12.36,12.37,11.69,0.3,0.8,1.66,5.91,7.13,-,-,-,-,-,-,-,-,-,-,-,-,-,3.1,6.55,22.68,-,0.47,Debt : FTP/FMP,null
Aditya Birla SL FTP-QH-1101D-Reg(G),Mohit Sharma,DT-FMP,Unrated,48.1,-,Closed Ended,26-Jun-18,Crisil Composite Bond Fund Index,11.58,11.58,10.73,0.44,1.28,2.69,7.47,4.29,-,-,-,0,-,-,-,-,-,-,2.54,-,-,4.51,5.27,7.6,-,0.86,Debt : FTP/FMP,null
Aditya Birla SL FTP-QI-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,137.7,-,Closed Ended,28-Jun-18,Crisil Composite Bond Fund Index,12.36,12.36,11.71,0.29,0.8,1.66,5.71,7.03,-,-,-,0,-,-,-,-,-,-,2.42,-,-,2.92,6.3,21.56,-,0.46,Debt : FTP/FMP,null
Aditya Birla SL FTP-QJ-1098D-Reg(G),Mohit Sharma,DT-FMP,Unrated,253.5,-,Closed Ended,5-Jul-18,Crisil Composite Bond Fund Index,12.33,12.33,11.68,0.31,0.81,1.64,5.75,7.02,-,-,-,0,-,-,-,-,-,-,2.36,-,-,2.95,6.34,20.75,-,0.46,Debt : FTP/FMP,null
Aditya Birla SL FTP-QK-1099D-Reg(G),Mohit Sharma,DT-FMP,Unrated,125.7,-,Closed Ended,6-Jul-18,Crisil Composite Bond Fund Index,12.31,12.31,11.66,0.3,0.8,1.65,5.67,7.02,-,-,-,0,-,-,-,-,-,-,2.35,-,-,2.87,6.27,21.55,-,0.45,Debt : FTP/FMP,null
Aditya Birla SL FTP-QL-1099D-Reg(G),Mohit Sharma,DT-FMP,Unrated,130.2,-,Closed Ended,10-Jul-18,Crisil Composite Bond Fund Index,12.33,12.33,11.66,0.3,0.81,1.73,5.88,7.14,-,-,-,0,-,-,-,-,-,-,2.19,-,-,3.07,6.66,21.86,-,0.46,Debt : FTP/FMP,null
Aditya Birla SL FTP-QM-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,105,-,Closed Ended,12-Jul-18,Crisil Composite Bond Fund Index,12.25,12.25,11.63,0.3,0.81,1.67,5.47,6.9,-,-,-,0,-,-,-,-,-,-,1.92,-,-,2.65,5.78,17.2,-,0.46,Debt : FTP/FMP,null
Aditya Birla SL FTP-QN-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,101.4,-,Closed Ended,18-Jul-18,Crisil Composite Bond Fund Index,12.11,12.11,11.44,0.3,0.8,1.7,6.03,6.44,-,-,-,0,-,-,-,-,-,-,2.51,-,-,3.23,6.23,19.15,-,0.51,Debt : FTP/FMP,null
Aditya Birla SL FTP-QO-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,98.3,-,Closed Ended,20-Jul-18,Crisil Composite Bond Fund Index,12.14,12.14,11.45,0.31,0.8,1.73,6.12,6.58,-,-,-,0,-,-,-,-,-,-,2.52,-,-,3.3,6.32,18.71,-,0.52,Debt : FTP/FMP,null
Aditya Birla SL FTP-QP-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,73.7,-,Closed Ended,26-Jul-18,Crisil Composite Bond Fund Index,11.29,11.29,10.44,0.44,1.39,3.09,7.63,3.73,-,-,-,0,-,-,-,-,-,-,2.52,-,-,4.66,4.77,6.56,-,0.98,Debt : FTP/FMP,null
Aditya Birla SL FTP-QQ-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,110.1,-,Closed Ended,28-Aug-18,Crisil Composite Bond Fund Index,11.22,11.22,10.44,0.44,1.26,2.81,7.24,3.89,-,-,-,0,-,-,-,-,-,-,2.32,-,-,4.31,5.09,7.07,-,0.85,Debt : FTP/FMP,null
Aditya Birla SL FTP-QR-1126D-Reg(G),Mohit Sharma,DT-FMP,Unrated,36.4,-,Closed Ended,5-Oct-18,Crisil Composite Bond Fund Index,12.23,12.23,11.27,0.5,1.33,2.86,8.06,7.73,-,-,-,-,-,-,-,-,-,-,-,-,-,5.04,5.68,9.46,-,0.89,Debt : FTP/FMP,null
Aditya Birla SL FTP-QS-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,32,-,Closed Ended,25-Jul-18,Crisil Composite Bond Fund Index,12.12,12.12,11.41,0.31,0.82,1.73,6.31,6.6,-,-,-,0,-,-,-,-,-,-,2.52,-,-,3.5,6.64,20.1,-,0.53,Debt : FTP/FMP,null
Aditya Birla SL FTP-QT-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,48.1,-,Closed Ended,3-Aug-18,Crisil Composite Bond Fund Index,12.09,12.09,11.38,0.31,0.82,1.75,6.38,6.6,-,-,-,0,-,-,-,-,-,-,2.56,-,-,3.55,6.33,18.04,-,0.56,Debt : FTP/FMP,null
Aditya Birla SL FTP-QU-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,168.3,-,Closed Ended,7-Aug-18,Crisil Composite Bond Fund Index,12.32,12.32,11.58,0.32,0.83,1.76,6.56,7.59,-,-,-,0,-,-,-,-,-,-,2.42,-,-,3.7,6.44,17.26,-,0.57,Debt : FTP/FMP,null
Aditya Birla SL FTP-QV-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,290.6,-,Closed Ended,14-Aug-18,Crisil Composite Bond Fund Index,12.28,12.28,11.53,0.34,0.84,1.81,6.68,7.45,-,-,-,0,-,-,-,-,-,-,2.35,-,-,3.81,6.41,17.84,-,0.59,Debt : FTP/FMP,null
Aditya Birla SL FTP-QW-1099D-Reg(G),Mohit Sharma,DT-FMP,Unrated,101.1,-,Closed Ended,14-Aug-18,Crisil Composite Bond Fund Index,11.41,11.41,10.6,0.45,1.24,2.55,7.46,4.61,-,-,-,0,-,-,-,-,-,-,2.6,-,-,4.49,5.75,9.07,-,0.78,Debt : FTP/FMP,null
